steps: 85000, lr: 4.34e-04, avg_loss: 3.45, run_time: 1.04e+02
steps: 85500, lr: 4.33e-04, avg_loss: 3.45, run_time: 1.04e+02
steps: 86000, lr: 4.31e-04, avg_loss: 3.45, run_time: 1.07e+02
steps: 86500, lr: 4.30e-04, avg_loss: 3.45, run_time: 1.07e+02
steps: 87000, lr: 4.29e-04, avg_loss: 3.46, run_time: 1.35e+02
steps: 87500, lr: 4.28e-04, avg_loss: 3.45, run_time: 1.03e+02
steps: 88000, lr: 4.26e-04, avg_loss: 3.44, run_time: 1.03e+02
steps: 88500, lr: 4.25e-04, avg_loss: 3.45, run_time: 1.05e+02
steps: 89000, lr: 4.24e-04, avg_loss: 3.45, run_time: 1.03e+02
steps: 89500, lr: 4.23e-04, avg_loss: 3.44, run_time: 1.07e+02
steps: 90000, lr: 4.22e-04, avg_loss: 3.44, run_time: 1.03e+02
steps: 90500, lr: 4.20e-04, avg_loss: 3.44, run_time: 1.03e+02
steps: 91000, lr: 4.19e-04, avg_loss: 3.44, run_time: 1.04e+02
steps: 91500, lr: 4.18e-04, avg_loss: 3.45, run_time: 1.04e+02
steps: 92000, lr: 4.17e-04, avg_loss: 3.42, run_time: 1.34e+02
steps: 92500, lr: 4.16e-04, avg_loss: 3.43, run_time: 1.07e+02
steps: 93000, lr: 4.15e-04, avg_loss: 3.43, run_time: 1.04e+02
steps: 93500, lr: 4.14e-04, avg_loss: 3.43, run_time: 1.07e+02
steps: 94000, lr: 4.13e-04, avg_loss: 3.44, run_time: 1.08e+02
steps: 94500, lr: 4.11e-04, avg_loss: 3.44, run_time: 1.04e+02
steps: 95000, lr: 4.10e-04, avg_loss: 3.44, run_time: 1.03e+02
steps: 95500, lr: 4.09e-04, avg_loss: 3.44, run_time: 1.04e+02
steps: 96000, lr: 4.08e-04, avg_loss: 3.44, run_time: 1.06e+02
steps: 96500, lr: 4.07e-04, avg_loss: 3.44, run_time: 1.03e+02
steps: 97000, lr: 4.06e-04, avg_loss: 3.45, run_time: 1.32e+02
steps: 97500, lr: 4.05e-04, avg_loss: 3.43, run_time: 1.03e+02
steps: 98000, lr: 4.04e-04, avg_loss: 3.43, run_time: 1.02e+02
steps: 98500, lr: 4.03e-04, avg_loss: 3.42, run_time: 1.03e+02
steps: 99000, lr: 4.02e-04, avg_loss: 3.43, run_time: 1.07e+02
steps: 99500, lr: 4.01e-04, avg_loss: 3.43, run_time: 1.03e+02
steps: 100000, lr: 4.00e-04, avg_loss: 3.43, run_time: 1.03e+02
steps: 100500, lr: 3.99e-04, avg_loss: 3.43, run_time: 1.03e+02
steps: 101000, lr: 3.98e-04, avg_loss: 3.43, run_time: 1.03e+02
