steps: 127000, lr: 3.55e-04, avg_loss: 3.27, run_time: 1.59e+02
steps: 127500, lr: 3.54e-04, avg_loss: 3.26, run_time: 1.60e+02
steps: 128000, lr: 3.54e-04, avg_loss: 3.26, run_time: 1.60e+02
steps: 128500, lr: 3.53e-04, avg_loss: 3.26, run_time: 1.60e+02
steps: 129000, lr: 3.52e-04, avg_loss: 3.26, run_time: 1.59e+02
steps: 129500, lr: 3.51e-04, avg_loss: 3.26, run_time: 1.59e+02
steps: 130000, lr: 3.51e-04, avg_loss: 3.26, run_time: 1.59e+02
steps: 130500, lr: 3.50e-04, avg_loss: 3.22, run_time: 3.79e+02
steps: 131000, lr: 3.49e-04, avg_loss: 3.25, run_time: 1.59e+02
steps: 131500, lr: 3.49e-04, avg_loss: 3.25, run_time: 1.59e+02
steps: 132000, lr: 3.48e-04, avg_loss: 3.25, run_time: 1.59e+02
steps: 132500, lr: 3.47e-04, avg_loss: 3.25, run_time: 1.59e+02
steps: 133000, lr: 3.47e-04, avg_loss: 3.26, run_time: 1.59e+02
steps: 133500, lr: 3.46e-04, avg_loss: 3.26, run_time: 1.59e+02
steps: 134000, lr: 3.46e-04, avg_loss: 3.26, run_time: 1.60e+02
steps: 134500, lr: 3.45e-04, avg_loss: 3.26, run_time: 1.59e+02
steps: 135000, lr: 3.44e-04, avg_loss: 3.26, run_time: 1.59e+02
steps: 135500, lr: 3.44e-04, avg_loss: 3.24, run_time: 2.78e+02
steps: 136000, lr: 3.43e-04, avg_loss: 3.25, run_time: 1.59e+02
steps: 136500, lr: 3.42e-04, avg_loss: 3.26, run_time: 1.60e+02
steps: 137000, lr: 3.42e-04, avg_loss: 3.25, run_time: 1.59e+02
steps: 137500, lr: 3.41e-04, avg_loss: 3.26, run_time: 1.60e+02
steps: 138000, lr: 3.41e-04, avg_loss: 3.25, run_time: 1.60e+02
steps: 138500, lr: 3.40e-04, avg_loss: 3.25, run_time: 1.60e+02
steps: 139000, lr: 3.39e-04, avg_loss: 3.25, run_time: 1.59e+02
steps: 139500, lr: 3.39e-04, avg_loss: 3.25, run_time: 1.60e+02
steps: 140000, lr: 3.38e-04, avg_loss: 3.25, run_time: 1.59e+02
steps: 140500, lr: 3.37e-04, avg_loss: 3.25, run_time: 3.19e+02
steps: 141000, lr: 3.37e-04, avg_loss: 3.25, run_time: 1.59e+02
steps: 141500, lr: 3.36e-04, avg_loss: 3.25, run_time: 1.60e+02
steps: 142000, lr: 3.36e-04, avg_loss: 3.25, run_time: 1.60e+02
steps: 142500, lr: 3.35e-04, avg_loss: 3.25, run_time: 1.60e+02
steps: 143000, lr: 3.34e-04, avg_loss: 3.25, run_time: 1.60e+02
steps: 143500, lr: 3.34e-04, avg_loss: 3.26, run_time: 1.60e+02
steps: 144000, lr: 3.33e-04, avg_loss: 3.25, run_time: 1.60e+02
steps: 144500, lr: 3.33e-04, avg_loss: 3.25, run_time: 1.60e+02
steps: 145000, lr: 3.32e-04, avg_loss: 3.24, run_time: 2.52e+02
steps: 145500, lr: 3.32e-04, avg_loss: 3.24, run_time: 1.59e+02
steps: 146000, lr: 3.31e-04, avg_loss: 3.24, run_time: 1.59e+02
